==========
Args:Namespace(arch='resnet50', dataset='market1501_duke', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='1', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=400, num_instances=4, optim='adam', print_freq=10, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=150, train_batch=32, use_cpu=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 1
Initializing dataset market1501_duke
=> market1501_duke loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |  1453 |    29458
  ------------------------------
Initializing model: resnet50
Model size: 26.75160M
==> Start training
Epoch: [1][10/181]	Time 0.511 (1.549)	Data 0.020 (0.088)	Loss 11.0236 (11.2713)	CLoss 7.4967 (7.3620)	GLoss 2.9429 (3.2671)	LLoss 0.5841 (0.6422)	
Epoch: [1][20/181]	Time 0.511 (1.030)	Data 0.021 (0.054)	Loss 11.3431 (11.0691)	CLoss 8.4113 (7.6186)	GLoss 2.2484 (2.7902)	LLoss 0.6834 (0.6603)	
Epoch: [1][30/181]	Time 0.511 (0.857)	Data 0.021 (0.043)	Loss 11.3185 (11.1292)	CLoss 8.7675 (7.9575)	GLoss 1.9499 (2.5167)	LLoss 0.6011 (0.6550)	
Epoch: [1][40/181]	Time 0.510 (0.771)	Data 0.021 (0.038)	Loss 11.2511 (11.2920)	CLoss 9.0710 (8.2543)	GLoss 1.5299 (2.3835)	LLoss 0.6502 (0.6542)	
Epoch: [1][50/181]	Time 0.513 (0.719)	Data 0.021 (0.034)	Loss 11.6923 (11.2997)	CLoss 9.3950 (8.4669)	GLoss 1.6341 (2.1801)	LLoss 0.6633 (0.6527)	
Epoch: [1][60/181]	Time 0.512 (0.685)	Data 0.021 (0.032)	Loss 11.0956 (11.2603)	CLoss 9.1859 (8.5946)	GLoss 1.3065 (2.0223)	LLoss 0.6031 (0.6434)	
Epoch: [1][70/181]	Time 0.514 (0.660)	Data 0.021 (0.030)	Loss 10.1863 (11.1147)	CLoss 8.6814 (8.6154)	GLoss 0.9043 (1.8756)	LLoss 0.6006 (0.6237)	
Epoch: [1][80/181]	Time 0.517 (0.642)	Data 0.021 (0.029)	Loss 9.6631 (10.9609)	CLoss 8.3451 (8.5892)	GLoss 0.6979 (1.7532)	LLoss 0.6201 (0.6185)	
Epoch: [1][90/181]	Time 0.512 (0.627)	Data 0.020 (0.028)	Loss 9.3481 (10.7867)	CLoss 8.2357 (8.5518)	GLoss 0.6126 (1.6286)	LLoss 0.4998 (0.6063)	
Epoch: [1][100/181]	Time 0.514 (0.616)	Data 0.021 (0.028)	Loss 8.7950 (10.6295)	CLoss 7.8945 (8.5170)	GLoss 0.5910 (1.5254)	LLoss 0.3095 (0.5871)	
Epoch: [1][110/181]	Time 0.518 (0.606)	Data 0.020 (0.027)	Loss 8.6695 (10.4877)	CLoss 8.0292 (8.4890)	GLoss 0.4219 (1.4318)	LLoss 0.2184 (0.5668)	
